id;name;uic;lat;lon;country;evalid
2131;Spittal-Millstättersee;spittal-millstattersee;46,795692;13,487572;AT;8100092
2088;Lendorf;lendorf;46,82765;13,417766;AT;8101126
564;Wiesmühle;wiesmuhle;48,021736;14,043674;AT;8101778
1968;Lichendorf;lichendorf;46,713913;15,698243;AT;8101148
1908;Redl-Zipf;redl-zipf;48,02625;13,515051;AT;8101428
1882;Roppen;roppen;47,215794;10,817391;AT;8101448
1879;Lacken;lacken;48,385918;14,091398;AT;8101110
1872;Ferndorf;ferndorf;46,732666;13,628921;AT;8100781
2275;Traxenbichl;traxenbichl;47,8772;13,938385;AT;8101684
1846;Ramingdorf-Haidershofen;ramingdorf-haidershofen;48,06784;14,459581;AT;8101419
1836;Werfen;werfen;47,472805;13,19523;AT;8100539
1819;Ried im Innkreis;ried-im-innkreis;48,200535;13,487717;AT;8100405
1805;Bad Radkersburg;bad-radkersburg;46,699593;15,993338;AT;8100677
1797;Wien Penzing;wien-penzing;48,192642;16,304434;AT;8100450
1791;Wettmannstätten;wettmannstatten;46,837692;15,382137;AT;8101809
1779;Schützen Haltestelle;schutzen-haltestelle;47,851364;16,63024;AT;8101617
1714;St.Pölten-Kaiserwald;st.polten-kaiserwald;48,199223;15,613787;AT;8101374
1698;Peggau-Deutschfeistritz;peggau-deutschfeistritz;47,207054;15,343324;AT;8100034
1676;Groß Sierning;gross-sierning;48,187977;15,457147;AT;8100890
1524;Neumarkt in Steiermark;neumarkt-in-steiermark;47,073483;14,414958;AT;8100075
2529;Ybbs a.d.Donau;ybbs-a.d.donau;48,15918;15,099955;AT;8100007
1495;Neubau-Kreuzstetten;neubau-kreuzstetten;48,49735;16,500744;AT;8101261
1485;Mürzzuschlag;murzzuschlag;47,607903;15,676991;AT;8100029
2126;Silberwald;silberwald;48,32834;16,67851;AT;8100591
2102;Statzendorf;statzendorf;48,309113;15,632632;AT;8100311
2054;St.Peter-Seitenstetten;st.peter-seitenstetten;48,054714;14,64621;AT;8101597
2010;Breiteneich bei Horn;breiteneich-bei-horn;48,672207;15,6882715;AT;8100682
1996;Breitensee NÖ;breitensee-no;48,254852;16,878992;AT;8100693
1984;Semmering;semmering;47,63963;15,830901;AT;8100028
1973;Bad Waltersdorf;bad-waltersdorf;47,17019;16,013754;AT;8100455
1946;Steinbachbrücke;steinbachbrucke;47,932346;13,993076;AT;8101612
1852;Zell a.d.Pram;zell-a.d.pram;48,31746;13,623851;AT;8101819
1773;Puchberg am Schneeberg;puchberg-am-schneeberg;47,790543;15,910823;AT;8101403
1742;Küb;kub;47,681877;15,876564;AT;8101097
1706;Dreistetten;dreistetten;47,87242;16,11052;AT;8100731
1669;St.Pölten Hbf;st.polten-hbf;48,208275;15,62468;AT;8100008
1630;Wopfing;wopfing;47,873642;16,076717;AT;8101797
1608;Stein a.d.Enns;stein-a.d.enns;47,43748;13,941978;AT;8101494
1534;Wien Nußdorf;wien-nussdorf;48,260002;16,367811;AT;8101290
1529;Kimpling;kimpling;48,26656;13,669317;AT;8101045
1175;Lend;lend;47,297424;13,055686;AT;8100045
1133;Launsdorf-Hochosterwitz;launsdorf-hochosterwitz;46,76886;14,455483;AT;8100077
1046;Kirchberg in Tirol;kirchberg-in-tirol;47,448925;12,309171;AT;8100057
1015;Kematen-Piberbach;kematen-piberbach;48,113064;14,203261;AT;8101036
1007;Kirchberg am Wagram;kirchberg-am-wagram;48,427536;15,894145;AT;8100288
985;Schaftenau;schaftenau;47,558838;12,125396;AT;8100483
139;Bichlbach-Berwang;bichlbach-berwang;47,42139;10,793283;AT;8100114
981;Oberndorf in Tirol;oberndorf-in-tirol;47,496906;12,390491;AT;8101792
922;Salzburg Kasern;salzburg-kasern;47,839275;13,0651865;AT;8101558
1243;Liezen;liezen;47,56253;14,241929;AT;8100131
853;Rohrbach a.d.Gölsen;rohrbach-a.d.golsen;48,047585;15,743191;AT;8101439
839;Hilm-Kematen;hilm-kematen;48,022537;14,761757;AT;8100949
780;Halbenrain;halbenrain;46,72382;15,948888;AT;8100916
779;Handelskai;handelskai;48,242153;16,385971;AT;8101947
753;Pinsdorf;pinsdorf;47,93324;13,766094;AT;8101361
747;Gratwein-Gratkorn;gratwein-gratkorn;47,12939;15,322749;AT;8100370
829;Hötzelsdorf-Geras;hotzelsdorf-geras;48,74222;15,670405;AT;8100273
710;Pfennigbach;pfennigbach;47,795727;15,923946;AT;8101349
706;Grünbach am Schneeberg;grunbach-am-schneeberg;47,797546;15,997854;AT;8100882
457;Tisis;tisis;47,22744;9,57562;AT;8101685
418;Fehring;fehring;46,949455;16,013208;AT;8100176
394;Enzesfeld-Lindabrunn;enzesfeld-lindabrunn;47,92136;16,187307;AT;8100757
315;Wiener Neustadt Civitas Nova;wiener-neustadt-civitas-nova;47,833317;16,254374;AT;8101789
384;Dorf a.d.Enns;dorf-a.d.enns;48,09135;14,473092;AT;8100716
302;Jedenspeigen;jedenspeigen;48,4958;16,878847;AT;8101012
301;Dürnkrut;durnkrut;48,47109;16,861057;AT;8100724
272;Dellach im Drautal;dellach-im-drautal;46,73572;13,07554;AT;8100145
713;Mannswörth;mannsworth;48,136333;16,508255;AT;8101871
98;Obertraun-Koppenbrüllerhöhle;obertraun-koppenbrullerhohle;47,564518;13,72044;AT;8101311
176;Mittlern;mittlern;46,5988;14,71494;AT;8100418
117;Nüziders;nuziders;47,171474;9,792705;AT;8101289
1857;Rankweil;rankweil;47,271935;9,637606;AT;8100119
109;Zeiselmauer-Königstetten;zeiselmauer-konigstetten;48,32662;16,175074;AT;8101825
199;Bischofshofen;bischofshofen;47,41982;13,2198305;AT;8100042
55;Amstetten;amstetten;48,121284;14,878882;AT;8100012
34;Aurachkirchen;aurachkirchen;47,96816;13,745367;AT;8100639
5270173;Ledenitzen;ledenitzen;46,56286;13,965997;AT;8102149
1647;Walding;walding;48,348354;14,1537485;AT;8101747
5275915;Oberland Haltestelle;oberland-haltestelle;47,90199;14,7441;AT;8101313
4747985;Wien Mitte - CAT;wien-mitte---cat;48,207207;16,385536;AT;8198449
1161;Leobersdorf;leobersdorf;47,93966;16,230621;AT;8101163
4384321;Tullnerfeld;tullnerfeld;48,295143;15,996537;AT;8102059
506;Fels;fels;48,42901;15,822856;AT;8100568
1376891;Salzburg Sam;salzburg-sam;47,819496;13,0631695;AT;8102055
2209;Ternberg;ternberg;47,94889;14,354885;AT;8100322
1265698;Wöllersdorf Marchgraben;wollersdorf-marchgraben;47,865276;16,164263;AT;8102058
1265643;Aschbach Haltestelle;aschbach-haltestelle;48,06958;14,756172;AT;8100600
1251757;Vienna Biocenter-St.Marx;vienna-biocenter-st.marx;48,188457;16,39864;AT;8101818
1685;Petronell-Carnuntum;petronell-carnuntum;48,10582;16,867672;AT;8100520
2568;Inzing;inzing;47,27779;11,199065;AT;8101007
689;Greifenburg-Weißensee;greifenburg-weissensee;46,741135;13,191008;AT;8100146
2496;Wolfsberg Reding;wolfsberg-reding;46,825615;14,845765;AT;8101383
2491;Wolfurt;wolfurt;47,45696;9,741362;AT;8100389
2468;Windischgarsten;windischgarsten;47,715355;14,32689;AT;8100517
2377;Nußbach;nussbach;47,971645;14,123395;AT;8101292
2358;Wörgl Hbf;worgl-hbf;47,491478;12,060549;AT;8100099
1402934;Hallein Burgfried;hallein-burgfried;47,675728;13,114642;AT;8102049
2325;Viechtwang;viechtwang;47,91552;13,971309;AT;8101716
2484;Wilhelmsburg a.d.Traisen;wilhelmsburg-a.d.traisen;48,111374;15,608423;AT;8101768
2315;Villach Westbf;villach-westbf;46,609203;13,840596;AT;8100148
